Rank by money PATIENTS PAID,Rank by TOTAL BILL,Type of care,Conditions grouped here,Paid by patients over 5 years,% of everything patients paid,% of the bill patients pay,Paid by insurers,Total bill,People affected,Total cost per person over 5 years,"Of that, paid by the person","Of that, paid by their insurer",% patients pay - Commercial,% patients pay - Government
13,14,Blood disorders,1,47232822,0.4,38.9,74245664,121478486,67419,1802,701,1101,56.2,2.9
10,10,Diabetes & metabolic,17,159224764,1.2,36.6,275345686,434570450,259513,1675,614,1061,74.4,8.1
11,11,Infections (other),5,90874402,0.7,28.0,233415717,324290119,13122,24713,6925,17788,34.9,1.4
2,2,Dental & oral,15,3295581951,25.8,27.9,8532248584,11827830056,938009,12610,3513,9096,52.9,3.0
5,7,Respiratory & ENT,16,668382799,5.2,26.8,1829821439,2498204310,937507,2665,713,1952,44.5,5.8
8,9,Injury & trauma,28,396179724,3.1,26.3,1109195251,1505374975,342757,4392,1156,3236,44.4,4.0
12,12,Chronic pain,1,63000430,0.5,22.9,212377036,275377466,31047,8870,2029,6841,25.9,5.3
9,8,Mental health & substance use,14,322408319,2.5,20.6,1239063750,1561472069,200549,7786,1608,6178,30.9,3.3
15,15,Other,38,16213774,0.1,17.9,74587141,90800915,56781,1599,286,1314,27.3,7.0
1,1,Maternity,5,4940449888,38.7,17.0,24071065835,29011515724,178766,162288,27636,134651,15.1,0.6
7,6,Heart & circulation,13,443946673,3.5,14.7,2573063801,3017010475,139952,21557,3172,18385,29.7,2.8
4,5,Kidney & urinary,13,857098889,6.7,14.2,5165328220,6022426729,167126,36035,5128,30907,14.3,2.7
3,3,Allergy & immune,5,862954226,6.8,10.0,7796612799,8659567025,49452,175111,17450,157660,6.7,0.7
14,13,Brain & nervous system,3,19964000,0.2,8.5,215949815,235913815,26392,8939,756,8182,40.2,4.1
6,4,Cancer & tumours,11,589210904,4.6,8.3,6510449155,7099660059,67860,104622,8683,95939,17.3,1.1
